,Team,Wins,Country,Last year won
0,Montréal Canadiens,23,Canada,
1,Toronto Maple Leafs,13,Canada,1967.0
2,Detroit Red Wings,11,US,2008.0
3,Boston Bruins,6,US,2011.0
4,Chicago Blackhawks,6,US,2015.0
5,Edmonton Oilers,5,Canada,1990.0
6,Pittsburgh Penguins,5,US,2017.0
7,St. Louis Eagles,4,US,
8,New York Islanders,4,US,1983.0
9,New York Rangers,4,US,1994.0
10,Tampa Bay Lightning,3,US,2020.0
11,New Jersey Devils,3,US,2003.0
12,Los Angeles Kings,2,US,2014.0
13,Colorado Avalanche,2,US,2001.0
14,Philadelphia Flyers,2,US,1975.0
15,Montreal Maroons,2,Canada,1935.0
16,St. Louis Blues,1,US,2019.0
17,Anaheim Ducks,1,US,2007.0
18,Dallas Stars,1,US,1999.0
19,Carolina Hurricanes,1,US,2006.0
20,Calgary Flames,1,Canada,1989.0
21,Washington Capitals,1,US,2018.0
